Id,Description,Family,IsActive,Name,ProductCode,SBQQ__AssetAmendmentBehavior__c,SBQQ__AssetConversion__c,SBQQ__BatchQuantity__c,SBQQ__BillingFrequency__c,SBQQ__BillingType__c,SBQQ__BlockPricingField__c,SBQQ__ChargeType__c,SBQQ__Component__c,SBQQ__CompoundDiscountRate__c,SBQQ__ConfigurationEvent__c,SBQQ__ConfigurationFieldSet__c,SBQQ__ConfigurationFields__c,SBQQ__ConfigurationFormTitle__c,SBQQ__ConfigurationType__c,SBQQ__ConfigurationValidator__c,SBQQ__ConfiguredCodePattern__c,SBQQ__ConfiguredDescriptionPattern__c,SBQQ__CostEditable__c,SBQQ__CostSchedule__c,SBQQ__CustomConfigurationPage__c,SBQQ__CustomConfigurationRequired__c,SBQQ__CustomerCommunityAvailability__c,SBQQ__DefaultPricingTable__c,SBQQ__DefaultQuantity__c,SBQQ__DescriptionLocked__c,SBQQ__DynamicPricingConstraint__c,SBQQ__EnableLargeConfiguration__c,SBQQ__ExcludeFromMaintenance__c,SBQQ__ExcludeFromOpportunity__c,SBQQ__ExternallyConfigurable__c,SBQQ__GenerateContractedPrice__c,SBQQ__HasConfigurationAttributes__c,SBQQ__HasConsumptionSchedule__c,SBQQ__Hidden__c,SBQQ__HidePriceInSearchResults__c,SBQQ__IncludeInMaintenance__c,SBQQ__NewQuoteGroup__c,SBQQ__NonDiscountable__c,SBQQ__NonPartnerDiscountable__c,SBQQ__OptionLayout__c,SBQQ__OptionSelectionMethod__c,SBQQ__Optional__c,SBQQ__PriceEditable__c,SBQQ__PricingGuidance__c,SBQQ__PricingMethodEditable__c,SBQQ__PricingMethod__c,SBQQ__ProductPictureID__c,SBQQ__QuantityEditable__c,SBQQ__QuantityScale__c,SBQQ__ReconfigurationDisabled__c,SBQQ__RenewalProduct__c,SBQQ__SortOrder__c,SBQQ__Specifications__c,SBQQ__SubscriptionBase__c,SBQQ__SubscriptionCategory__c,SBQQ__SubscriptionPercent__c,SBQQ__SubscriptionPricing__c,SBQQ__SubscriptionTarget__c,SBQQ__SubscriptionTerm__c,SBQQ__SubscriptionType__c,SBQQ__TaxCode__c,SBQQ__Taxable__c,SBQQ__DiscountSchedule__c,SBQQ__TermDiscountLevel__c,SBQQ__TermDiscountSchedule__c,SBQQ__UpgradeCredit__c,SBQQ__UpgradeRatio__c,SBQQ__UpgradeSource__c,SBQQ__UpgradeTarget__c,SBQQ__CostSchedule__r.Id,SBQQ__CostSchedule__r.Name,SBQQ__PricingGuidance__r.Name,SBQQ__RenewalProduct__r.Id,SBQQ__RenewalProduct__r.Name,SBQQ__SubscriptionTarget__r.Id,SBQQ__SubscriptionTarget__r.Name,SBQQ__DiscountSchedule__r.Id,SBQQ__DiscountSchedule__r.Name,SBQQ__TermDiscountSchedule__r.Id,SBQQ__TermDiscountSchedule__r.Name,SBQQ__UpgradeCredit__r.Id,SBQQ__UpgradeCredit__r.Name,SBQQ__UpgradeSource__r.Id,SBQQ__UpgradeSource__r.Name,SBQQ__UpgradeTarget__r.Id,SBQQ__UpgradeTarget__r.Name
01t3G000000sNO6QAM,"Price based on total logins, aggregated at the end of each month",Software,true,Monthly Logins,SB-USER-L,Default,,,Monthly,Arrears,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,true,false,false,false,,Click,false,true,,false,List,,true,,false,,,,List,,,Fixed Price,,1,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNO7QAM,A streaming and reporting command that identifies anomalous events by computing a probability for each event and then detecting unusually small probabilities,Software,true,Anomaly Detection,SB-AO-ANOM-DET,Default,,,Monthly,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,1,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNO8QAM,The main use case for an indexer cluster is an enterprise deployment that requires high data availability and is willing to allocate the additional disk space necessary to store multiple copies of the data,Software,true,High Availability,SB-AO-HI-AVA,Default,,,Monthly,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,1,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNO9QAM,Instance of SmartBytes Platform intended for testing and deployment of application updates,Software,true,Developer Environment,SB-AO-DEV-ENV,Default,,,Monthly,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,1,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOAQA2,SmartBytes Disaster Recovery Software is designed to provide business continuity and recovery following natural or man-made disasters and outages,Software,true,Disaster Recovery,SB-AO-DIS-REC,Default,,,Monthly,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,1,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOBQA2,"This add-on will allow consolidation of multiple SmartBytes instances, or nodes, that, working in concert, provide a redundant indexing and searching capability",Software,true,Clustering,SB-AO-CLUSTER,Default,,,Monthly,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,1,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOCQA2,Distributed search provides a way to scale your deployment by separating the search management and presentation layer from the indexing and search retrieval layer,Software,true,Distributed Search,SB-AO-DIS-SEA,Default,,,Monthly,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,1,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNODQA2,The industry standard for achieving the Single Sign On across the disparate business systems,Software,true,Single Sign-On/LDAP,SB-AO-SIN-SIG,Default,,,Monthly,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,1,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOEQA2,"Nothing improves the customer experience like good application performance. With SmartBytes application monitoring solutions, you can monitor and measure the key areas that impact customer experience (CX)",Software,true,Application Monitoring,SB-APP-MON,Default,,,Annual,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,12,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOFQA2,"Filter out IT disruptions so you spend less time sifting through errors, and more time ensuring customer satisfaction",Software,true,Event Management,SB-EVT-MGMT,Default,,,Annual,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,12,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOGQA2,"Fight downtime by monitoring and measuring uptime, performance, and response time of mission-critical applications and the infrastructure that they run on",Software,true,Network Operations Management,SB-NET-OP-MGMT,Default,,,Annual,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,12,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOHQA2,Ad Hoc,,true,Custom SKU,SB-ADHOC,Default,,,,,Quantity,One-Time,false,,,,,,,,,,true,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,true,false,,Click,false,true,,false,List,,true,,false,,,,List,,,,,,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOIQA2,"With our Fundamentals Training you will read, watch videos, and participate in activities aimed to give hands-on experience with the basics of the tool",Software,true,SmartBytes Fundamentals Training,SB-TRN-FUND,Default,,,,,Quantity,One-Time,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,,,,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOJQA2,"With our Essentials Training, you'll get access to live webinars, self-paced learning modules, and powerful analysis tools",Software,true,SmartBytes Essentials Training,SB-TRN-ESSNTLS,Default,,,Annual,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,12,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOKQA2,Implementation managed by in-house professional services with an agreed upon scope of work,Services,true,Professional Services Scope of Work,SB-SVC-SOW,Default,,,,,Quantity,One-Time,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOLQA2,"Custom Implementation managed by in-house professional services, charged on a Time and Material basis",Services,true,Professional Services Project,SB-SVC-PRJ,Default,One per quote line,,,,Quantity,One-Time,false,,Always,,,,Allowed,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,true,false,,Click,false,false,,false,List,,true,,false,,,,List,,,,,,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOMQA2,Professional services option to be priced on a per-day basis,Services,true,Professional Services Daily Rate,SB-SVC-OG-PSH,Default,,,,,Quantity,One-Time,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,true,false,,Click,false,false,,false,List,,true,,false,,,,List,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNONQA2,Professional project management services option to be priced on a per-day basis,Services,true,Professional Services - Project Management Daily Rate,SB-SVC-OG-PM-PSH,Default,,,,,Quantity,One-Time,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,true,false,,Click,false,false,,false,List,,true,,false,,,,List,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOOQA2,Associate consultant services option to be priced on a per-day basis,Services,true,Professional Services - Associate Consultant Daily Rate,SB-SVC-OG-AC-PSH,Default,,,,,Quantity,One-Time,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,true,false,,Click,false,false,,false,List,,true,,false,,,,List,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOPQA2,Professional services billed at the end of each month based on consumed hours,Services,true,Professional Service Hours (Consumption),SB-SVC-OG-PSHC,Default,,,Monthly,Arrears,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,true,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,1,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOQQA2,Basic Consulting package for implementation managed by 3rd party SI/Partner on Fixed Fee basis,Services,true,Quick Start Enablement,SB-SVC-QSE,Default,,,Invoice Plan,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,,,,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNORQA2,One-time fee to access premium customer success services as you navigate your data transformation,Software,true,SmartBytes Advisory Services,SB-SVC-ADV,Default,,,,,Quantity,One-Time,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,true,false,,Click,false,false,,false,List,,true,,false,,,,List,,,,,,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOSQA2,"For mission critical deployments, you need SmartBytes up and running as fast as possible. Select the standard success plan for access to documentation, online case management and phone support",Services,true,Standard Success Plan,SB-SUCC-STD,Default,,,Monthly,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,false,false,false,false,,Click,false,false,,false,Percent Of Total,,true,,false,,,,List,,3,Fixed Price,,12,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOTQA2,"For mission critical deployments, you need SmartBytes up and running as fast as possible. Select the premium success plan for everything included in the standard plan AND direct access to our advanced support team 24/7",Services,true,Premium Success Plan,SB-SUCC-PREM,Default,,,Annual,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,List price is minimum,false,false,false,false,,false,false,false,true,false,false,false,false,,Click,false,false,,false,List,,true,,false,,,,Net,,10,Percent Of Total,,12,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOUQA2,"Real-time log management to search, diagnose and report",Software,true,SmartBytes Logger,SB-SEC-LOG,Default,,,Annual,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,true,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,12,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOVQA2,"SmartBytes ESM includes threat intelligence feeds, correlation, analytics, profiling, security alerts, data presentation and compliance",Software,true,Enterprise Security Manager (ESM),SB-SEC-ESM,Default,,,Annual,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,true,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,12,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
01t3G000000sNOWQA2,"Take advantage of the full power of your security investments with security orchestration, automation, and response",Software,true,Security Orchestration & Response,SB-SEC-LOG,Default,,,Annual,Advance,Quantity,Recurring,false,,,,,,,,,,false,,,false,,,1,false,,false,false,false,false,,false,false,false,false,true,false,false,false,,Click,false,false,,false,List,,true,,false,,,,List,,,Fixed Price,,12,Renewable,,false,,,,,,,,,,,,,,,,,,,,,,,,
