Id,IsActive,Name,Product2Id,Pricebook2Id,UnitPrice,UseStandardPrice,Product2.Name,Pricebook2.Name
01u3G000001K5osQAC,true,Machine Learning,01t3G000000sNO3QAM,01s3G000000XOOBQA4,5,false,Machine Learning,Standard Price Book
01u3G000001K5otQAC,true,Anomaly Detection,01t3G000000sNO7QAM,01s3G000000XOOBQA4,25,false,Anomaly Detection,Standard Price Book
01u3G000001K5ouQAC,true,Professional Service Hours (Consumption),01t3G000000sNOPQA2,01s3G000000XOOBQA4,0,false,Professional Service Hours (Consumption),Standard Price Book
01u3G000001K5ovQAC,true,Distributed Search,01t3G000000sNOCQA2,01s3G000000XOOBQA4,10,false,Distributed Search,Standard Price Book
01u3G000001K5owQAC,true,Enterprise Security Manager (ESM),01t3G000000sNOVQA2,01s3G000000XOOBQA4,15000,false,Enterprise Security Manager (ESM),Standard Price Book
01u3G000001K5oyQAC,true,Real-time Alerts,01t3G000000sNO2QAM,01s3G000000XOOBQA4,10,false,Real-time Alerts,Standard Price Book
01u3G000001K5ozQAC,true,Professional Services Project,01t3G000000sNOLQA2,01s3G000000XOOBQA4,0,false,Professional Services Project,Standard Price Book
01u3G000001K5p0QAC,true,Disaster Recovery,01t3G000000sNOAQA2,01s3G000000XOOBQA4,10,false,Disaster Recovery,Standard Price Book
01u3G000001K5p1QAC,true,Network Operations Management,01t3G000000sNOGQA2,01s3G000000XOOBQA4,8000,false,Network Operations Management,Standard Price Book
01u3G000001K5p2QAC,true,Security Orchestration & Response,01t3G000000sNOWQA2,01s3G000000XOOBQA4,9600,false,Security Orchestration & Response,Standard Price Book
01u3G000001K5p3QAC,true,Monthly Logins,01t3G000000sNO6QAM,01s3G000000XOOBQA4,0,false,Monthly Logins,Standard Price Book
01u3G000001K5p4QAC,true,Application Monitoring,01t3G000000sNOEQA2,01s3G000000XOOBQA4,7000,false,Application Monitoring,Standard Price Book
01u3G000001K5p5QAC,true,Professional Services - Associate Consultant Daily Rate,01t3G000000sNOOQA2,01s3G000000XOOBQA4,250,false,Professional Services - Associate Consultant Daily Rate,Standard Price Book
01u3G000001K5p6QAC,true,Professional Services Scope of Work,01t3G000000sNOKQA2,01s3G000000XOOBQA4,14000,false,Professional Services Scope of Work,Standard Price Book
01u3G000001K5p7QAC,true,Premium Success Plan,01t3G000000sNOTQA2,01s3G000000XOOBQA4,0,false,Premium Success Plan,Standard Price Book
01u3G000001K5oxQAC,true,SmartBytes Logger,01t3G000000sNOUQA2,01s3G000000XOOBQA4,3600,false,SmartBytes Logger,Standard Price Book
